,Environment Feature,,,,,,,,Vehicle Feature,,,,,,,,,,,,,,,,,,,
3245,21,34,25,94,20,15,95,99,350.3571429,100,65.88235294,vehicle.audi.tt,0.002274453,-93.66039276,-0.000640869,27,4,X,"1003,504,1071,541
",65.88235294,100,350.3571429,vehicle.citroen.c3,0.00035517,-88.58648682,0.002839906,22,22
3246,4,53,61,46,37,53,53,63,0,0,85.09803922,vehicle.jeep.wrangler_rubicon,0.000887925,-90.60345459,0.005047261,8,4,X,"851,359,1036,543
",85.09803922,0,0,vehicle.nissan.patrol,0,1.227262974,0,26,26
3247,4,75,7,38,86,21,92,63,221.7073171,57.34265734,56.07843137,vehicle.chevrolet.impala,0,-89.99999237,0,38,4,X,"1039,513,1092,540
",56.07843137,57.34265734,221.7073171,vehicle.citroen.c3,0,91.41353607,0,15,15
3248,12,85,66,98,5,95,50,86,0,83.56164384,28.62745098,vehicle.volkswagen.t2,0,1.227262974,0,20,4,X,"369,455,603,541
",28.62745098,83.56164384,0,vehicle.volkswagen.t2,0,-89.99999237,0,30,30
3249,11,89,53,73,3,44,92,36,221.7073171,57.34265734,56.07843137,vehicle.chevrolet.impala,0.000170755,144.1681366,-0.000915527,27,4,X,"390,494,589,541
",56.07843137,57.34265734,221.7073171,vehicle.bmw.grandtourer,0,-178.7727051,0,23,23
3250,8,43,77,54,92,78,76,95,0,0,85.09803922,vehicle.jeep.wrangler_rubicon,0,110.0343857,0,14,4,X,"273,410,585,542
",85.09803922,0,0,vehicle.seat.leon,-0.005464151,-88.58644104,0.002794681,6,6
3251,16,27,5,86,84,60,32,55,0,83.56164384,28.62745098,vehicle.volkswagen.t2,0,-89.99999237,0,33,4,X,"192,478,374,541
",28.62745098,83.56164384,0,vehicle.seat.leon,0.075739965,-178.7726746,-0.015350337,20,20
3252,8,98,22,8,99,49,82,70,0,100,100,vehicle.toyota.prius,0.000102453,-178.7726898,0,22,4,X,"585,488,761,541
",100,100,0,vehicle.audi.a2,0.064039849,141.3937531,6.42E-07,26,26
3253,22,94,41,56,42,77,64,99,221.7073171,57.34265734,56.07843137,vehicle.chevrolet.impala,0.001932943,-178.7726898,-0.000274658,19,4,X,"818,489,1015,541
",56.07843137,57.34265734,221.7073171,vehicle.audi.a2,0.064128645,91.41353607,0,34,34
3254,4,12,0,85,78,15,83,87,0,0,85.09803922,vehicle.jeep.wrangler_rubicon,0,-178.7727051,0,19,4,X,"728,472,877,541
",85.09803922,0,0,vehicle.tesla.model3,0,-89.99999237,0,28,28
3255,14,54,37,11,20,86,83,17,233.372093,80.37383178,83.92156863,vehicle.seat.leon,0,121.8512344,0,26,4,X,"514,494,663,541
",83.92156863,80.37383178,233.372093,vehicle.nissan.patrol,0,55.17047882,0,19,19
3256,13,100,100,90,100,7,0.75,0,69.6,13.36898396,73.33333333,vehicle.nissan.patrol,0,117.9460526,0,25,4,X,"548,481,704,540
",73.33333333,13.36898396,69.6,vehicle.audi.a2,0.064039849,91.41353607,0,9,9
3257,23,36,87,31,77,88,31,61,226.0465116,83.49514563,40.39215686,vehicle.tesla.model3,-6.629913807,-178.7727966,-6.10E-05,29,4,X,"1498,457,1725,526
",40.39215686,83.49514563,226.0465116,vehicle.tesla.model3,0,-178.7727051,0,19,19
3258,6,25,46,8,42,88,91,56,0,100,100,vehicle.toyota.prius,0.000102453,91.41352844,-3.26E-12,33,4,X,"716,506,788,540
",100,100,0,vehicle.audi.etron,0.000553245,-88.58641815,0.000934547,29,29
3259,19,26,20,17,42,15,36,77,350.3571429,100,65.88235294,vehicle.audi.a2,0.064135469,-178.7726898,0,21,4,X,"583,486,736,541
",65.88235294,100,350.3571429,vehicle.audi.tt,-6.649195671,-178.7726898,6.72E-09,28,28
3260,8,65,85,6,40,94,51,80,221.7073171,57.34265734,56.07843137,vehicle.chevrolet.impala,-0.126706839,-89.98156738,-1.282775998,24,4,X,"1171,493,1298,541
",56.07843137,57.34265734,221.7073171,vehicle.toyota.prius,0.000102453,-178.7726898,5.08E-07,25,25
3261,12,83,34,61,4,89,57,86,233.372093,80.37383178,83.92156863,vehicle.seat.leon,0,91.41353607,0,40,4,X,"773,514,821,540
",83.92156863,80.37383178,233.372093,vehicle.citroen.c3,-0.005095321,1.227262259,0.000726487,16,16
3262,2,75,30,6,46,17,71,58,221.7073171,57.34265734,56.07843137,vehicle.chevrolet.impala,-0.005006528,1.227262974,0.000718109,16,4,X,"930,480,1163,541
",56.07843137,57.34265734,221.7073171,vehicle.jeep.wrangler_rubicon,0,91.41353607,0,36,36
3263,19,36,81,58,44,91,93,92,350.3571429,100,65.88235294,vehicle.audi.etron,0,135.8447571,0,27,4,X,"423,488,603,541
",65.88235294,100,350.3571429,vehicle.volkswagen.t2,0.060720377,-178.7727966,-0.012298586,22,22
3264,12,30,41,65,90,14,40,96,350.3571429,100,65.88235294,vehicle.audi.etron,0.002930151,-178.7726898,-0.001464844,19,4,X,"1008,479,1196,541
",65.88235294,100,350.3571429,vehicle.tesla.model3,-0.00143434,1.227254391,0.000364304,16,16
3265,10,44,44,66,21,39,71,85,0,100,100,vehicle.toyota.prius,0.000102453,-178.7726898,0,24,4,X,"421,489,610,541
",100,100,0,vehicle.chevrolet.impala,0.002021736,-101.4998627,-0.000396729,26,26
3266,15,80,37,62,77,60,81,39,350.3571429,100,65.88235294,vehicle.audi.a2,-0.111878492,-90.01403809,-8.561624527,34,4,X,"1562,452,1723,511
",65.88235294,100,350.3571429,vehicle.seat.leon,3.18902874,1.227266669,0,22,22
3267,2,79,79,79,4,96,45,80,233.372093,80.37383178,83.92156863,vehicle.seat.leon,-1.669031739,-178.7746735,-0.022796629,21,4,X,"1206,484,1383,542
",83.92156863,80.37383178,233.372093,vehicle.toyota.prius,0.000102453,91.41352844,-3.26E-12,11,11
3268,11,62,43,61,26,46,48,9,350.3571429,100,65.88235294,vehicle.audi.etron,0.000696679,-88.58644104,0.005168183,23,4,X,"961,489,1026,541
",65.88235294,100,350.3571429,vehicle.toyota.prius,0.000102453,-88.58641815,0,39,39
3269,18,37,49,52,90,75,84,13,69.6,13.36898396,73.33333333,vehicle.nissan.patrol,-0.005006528,1.227264047,0.000754885,16,4,X,"871,459,1074,541
",73.33333333,13.36898396,69.6,vehicle.seat.leon,0,127.2245331,0,15,15
3270,12,41,87,67,8,35,14,57,0,83.56164384,28.62745098,vehicle.volkswagen.t2,0,91.41353607,0,16,4,X,"437,427,663,541
",28.62745098,83.56164384,0,vehicle.citroen.c3,0,91.41353607,0,35,35
3271,20,9,29,59,61,37,44,26,69.6,13.36898396,73.33333333,vehicle.nissan.patrol,0.002636453,-178.7726898,-0.000335693,20,4,X,"861,477,1018,540
",73.33333333,13.36898396,69.6,vehicle.nissan.micra,0,1.227262974,0,19,19
3272,21,32,69,0,78,23,17,7,0,0,95.29411765,vehicle.nissan.micra,0,-88.58644104,0,31,4,X,"938,506,980,540
",95.29411765,0,0,vehicle.citroen.c3,0.001366038,-95.62026978,0.003814897,27,27
3273,6,46,9,3,62,45,23,72,0,0,42.74509804,vehicle.bmw.grandtourer,0,-88.58644104,0,29,4,X,"901,500,956,540
",42.74509804,0,0,vehicle.audi.a2,0.065576643,-118.2201843,0.001234047,14,14
3274,7,48,59,99,5,62,86,51,0,0,85.09803922,vehicle.citroen.c3,5.114117622,1.227289081,-3.35E-09,24,4,X,"1532,448,1766,530
",85.09803922,0,0,vehicle.volkswagen.t2,0,91.41353607,0,37,37
3275,6,21,76,92,95,92,10,8,350.3571429,100,65.88235294,vehicle.audi.tt,0,-88.58644104,0,38,4,X,"926,515,963,540
",65.88235294,100,350.3571429,vehicle.bmw.grandtourer,0,1.227262974,0,22,22
3276,16,67,43,75,85,81,28,73,69.6,13.36898396,73.33333333,vehicle.nissan.patrol,0,-55.63374329,0,23,4,X,"804,480,935,540
",73.33333333,13.36898396,69.6,vehicle.jeep.wrangler_rubicon,-0.000764981,-72.1446991,0.005063877,11,11
3277,10,34,95,90,46,23,95,58,0,100,100,vehicle.toyota.prius,0.000102453,42.04774857,2.11E-06,20,4,X,"140,454,300,542
",100,100,0,vehicle.toyota.prius,-3.616817236,-178.7726898,3.34E-09,24,24
3278,24,83,88,5,41,75,89,7,226.0465116,83.49514563,40.39215686,vehicle.tesla.model3,-0.001769019,-88.58589935,0.001173951,7,4,X,"779,359,1048,545
",40.39215686,83.49514563,226.0465116,vehicle.audi.a2,0.064060338,130.6625977,0,14,14
3279,23,33,27,63,94,6,44,42,350.3571429,100,65.88235294,vehicle.audi.tt,0,112.0883713,0,28,4,X,"548,500,681,541
",65.88235294,100,350.3571429,vehicle.jeep.wrangler_rubicon,0,1.227262974,0,26,26
3280,22,67,69,80,34,79,48,100,350.3571429,100,65.88235294,vehicle.audi.tt,0,-178.7727051,0,25,4,X,"322,493,514,541
",65.88235294,100,350.3571429,vehicle.citroen.c3,0,91.41353607,0,34,34
3281,4,49,95,11,100,99,99,32,350.3571429,100,65.88235294,vehicle.audi.etron,0,113.4723969,0,14,4,X,"345,431,678,543
",65.88235294,100,350.3571429,vehicle.audi.etron,0,-88.58644104,0,35,35
3282,8,50,49,27,28,2,57,57,0,0,85.09803922,vehicle.jeep.wrangler_rubicon,0.002267623,-89.99999237,-0.000488281,27,4,X,"1055,490,1124,540
",85.09803922,0,0,vehicle.nissan.patrol,-0.006625283,-88.58752441,0.002796582,7,7
3283,22,19,7,18,58,23,12,72,0,83.56164384,28.62745098,vehicle.volkswagen.t2,2.05E-05,-88.58641815,-0.000579834,35,4,X,"981,499,1026,540
",28.62745098,83.56164384,0,vehicle.jeep.wrangler_rubicon,0,91.41353607,0,34,34
3284,9,21,97,97,56,82,77,12,0,0,95.29411765,vehicle.nissan.micra,0,91.41353607,0,32,4,X,"752,506,812,540
",95.29411765,0,0,vehicle.audi.etron,0,-88.58644104,0,37,37
3285,6,30,12,67,79,59,42,15,0,0,95.29411765,vehicle.nissan.micra,0,-89.99999237,0,30,4,X,"529,499,628,540
",95.29411765,0,0,vehicle.audi.etron,0,91.41353607,0,36,36
3286,21,1,7,98,11,19,13,85,69.6,13.36898396,73.33333333,vehicle.nissan.patrol,0,-88.58644104,0,33,4,X,"918,500,960,540
",73.33333333,13.36898396,69.6,vehicle.audi.etron,0,91.41353607,0,33,33
3287,21,66,34,36,46,61,39,53,350.3571429,100,65.88235294,vehicle.audi.tt,3.305907011,1.227262139,1.07E-05,21,4,X,"1436,464,1690,537
",65.88235294,100,350.3571429,vehicle.jeep.wrangler_rubicon,0,-178.7727051,0,22,22
3288,2,86,47,44,88,20,38,24,0,0,85.09803922,vehicle.citroen.c3,0.002253962,-89.99999237,-0.000488281,26,4,X,"1052,496,1121,541
",85.09803922,0,0,vehicle.jeep.wrangler_rubicon,-0.070590004,1.244380713,0.01066834,18,18
3289,16,97,3,20,85,46,41,41,0,0,42.74509804,vehicle.bmw.grandtourer,0.001065509,-89.99999237,0.004745591,11,4,X,"1204,394,1560,543
",42.74509804,0,0,vehicle.chevrolet.impala,0.001871472,-123.0580368,-0.00125122,23,23
3290,19,73,57,91,73,84,36,31,233.372093,80.37383178,83.92156863,vehicle.seat.leon,0,98.42050934,0,28,4,X,"650,501,745,540
",83.92156863,80.37383178,233.372093,vehicle.bmw.grandtourer,-0.792418003,-178.8251953,-0.010894774,22,22
3291,10,82,94,6,92,90,13,99,350.3571429,100,65.88235294,vehicle.audi.a2,0.06406717,1.227261066,-5.21E-11,24,4,X,"154,477,371,541
",65.88235294,100,350.3571429,vehicle.nissan.micra,0.003674641,-178.7726898,-0.000244141,20,20
3292,8,79,70,28,16,62,75,17,350.3571429,100,65.88235294,vehicle.audi.tt,0.005068,-178.7726898,-0.000732422,19,4,X,"903,491,1054,541
",65.88235294,100,350.3571429,vehicle.chevrolet.impala,0.029745473,1.228304505,0.022273615,16,16
3293,4,35,34,41,76,54,40,14,0,0,85.09803922,vehicle.citroen.c3,0.000266377,-86.57891083,0.001528096,28,4,X,"936,499,983,541
",85.09803922,0,0,vehicle.volkswagen.t2,0,103.1584091,-0.000579834,13,13
3294,16,64,15,32,93,33,19,48,221.7073171,57.34265734,56.07843137,vehicle.chevrolet.impala,0,-178.7727051,0,19,4,X,"564,487,791,541
",56.07843137,57.34265734,221.7073171,vehicle.seat.leon,0,91.41353607,0,39,39
3295,9,58,25,95,43,63,60,49,350.3571429,100,65.88235294,vehicle.audi.tt,0,-88.58644104,0,4,4,X,"783,217,1263,550
",65.88235294,100,350.3571429,vehicle.volkswagen.t2,0,-89.99999237,0,40,40
3296,3,23,61,7,13,12,2,54,0,0,85.09803922,vehicle.jeep.wrangler_rubicon,0,-178.7727051,0,26,4,X,"250,472,445,541
",85.09803922,0,0,vehicle.tesla.model3,0,106.5963821,0,13,13
3297,21,50,47,53,92,95,84,97,0,83.56164384,28.62745098,vehicle.volkswagen.t2,0.801905155,1.228212595,0.024563137,20,4,X,"1177,459,1380,541
",28.62745098,83.56164384,0,vehicle.audi.a2,0.063472942,-74.09947205,0.005221209,11,11
3298,22,3,46,4,55,1,51,28,221.7073171,57.34265734,56.07843137,vehicle.chevrolet.impala,0.001338717,-88.58641815,-0.000152588,30,4,X,"981,506,1034,541
",56.07843137,57.34265734,221.7073171,vehicle.chevrolet.impala,-0.001618755,-62.3711319,0.004841999,12,12
3299,13,20,30,50,30,3,0.75,0,350.3571429,100,65.88235294,vehicle.audi.a2,4.211849689,1.227272511,-6.69E-09,22,4,X,"1499,453,1730,534
",65.88235294,100,350.3571429,vehicle.seat.leon,-5.845063686,-178.7726898,-3.05E-05,27,27
3300,17,38,100,98,53,8,85,57,350.3571429,100,65.88235294,vehicle.audi.etron,-0.15606299,-90.00079346,-1.093414307,25,4,X,"1161,487,1276,541
",65.88235294,100,350.3571429,vehicle.nissan.patrol,-0.005068,1.227264047,0.000762729,16,16
3301,3,59,34,8,45,14,68,5,350.3571429,100,65.88235294,vehicle.audi.etron,0,114.0409164,0,28,4,X,"523,492,676,541
",65.88235294,100,350.3571429,vehicle.jeep.wrangler_rubicon,0,86.52562714,0,28,28
3302,13,81,100,5,30,78,61,33,0,83.56164384,28.62745098,vehicle.volkswagen.t2,0,91.41353607,0,30,4,X,"666,489,753,540
",28.62745098,83.56164384,0,vehicle.nissan.patrol,0,91.41353607,0,37,37
3303,6,45,97,68,62,34,5,82,233.372093,80.37383178,83.92156863,vehicle.seat.leon,0,86.52562714,0,28,4,X,"723,502,790,540
",83.92156863,80.37383178,233.372093,vehicle.nissan.patrol,0.432364613,1.229629874,-0.00338745,17,17
3304,4,96,47,10,74,3,74,66,69.6,13.36898396,73.33333333,vehicle.nissan.patrol,0,1.227262974,0,23,4,X,"235,464,481,541
",73.33333333,13.36898396,69.6,vehicle.toyota.prius,0.000102453,-88.58641815,0,34,34
3305,14,37,70,1,100,86,72,89,0,0,42.74509804,vehicle.bmw.grandtourer,0,1.227262974,0,26,4,X,"11,471,297,541
",42.74509804,0,0,vehicle.jeep.wrangler_rubicon,0,-89.99999237,0,39,39
3306,8,14,43,23,62,74,1,4,226.0465116,83.49514563,40.39215686,vehicle.tesla.model3,0,1.227262974,0,18,4,X,"572,477,800,541
",40.39215686,83.49514563,226.0465116,vehicle.toyota.prius,0.000102453,-178.7726898,0,22,22
3307,3,15,19,66,83,74,2,28,0,0,85.09803922,vehicle.jeep.wrangler_rubicon,0.001618755,-125.0178604,-0.001708984,23,4,X,"1052,481,1176,541
",85.09803922,0,0,vehicle.audi.a2,0.060242265,1.22725451,0.000520258,18,18
3308,18,73,82,39,8,56,51,79,0,100,100,vehicle.toyota.prius,-3.081473827,-178.7728577,0.000198863,24,4,X,"1296,477,1494,539
",100,100,0,vehicle.citroen.c3,6.512291431,1.227155209,-0.000122077,27,27
3309,3,49,53,44,97,29,23,44,226.0465116,83.49514563,40.39215686,vehicle.tesla.model3,0.053548679,-25.53208351,-0.314971954,16,4,X,"1173,461,1411,542
",40.39215686,83.49514563,226.0465116,vehicle.audi.etron,-0.008455774,-88.58648682,0.002841121,8,8
3310,19,12,13,57,59,50,100,80,0,0,85.09803922,vehicle.citroen.c3,0,91.41353607,0,31,4,X,"760,502,823,540
",85.09803922,0,0,vehicle.volkswagen.t2,0,1.227262974,0,16,16
3311,16,82,34,99,98,47,74,47,0,100,100,vehicle.toyota.prius,0.001400189,-88.58641815,-0.000152588,30,4,X,"986,504,1038,540
",100,100,0,vehicle.citroen.c3,0,1.227262974,0,26,26
3312,9,98,14,96,78,98,0,24,350.3571429,100,65.88235294,vehicle.audi.tt,-0.039212115,-149.8684082,-0.10632322,23,4,X,"1104,495,1246,541
",65.88235294,100,350.3571429,vehicle.citroen.c3,0,91.41353607,0,16,16
3313,16,60,94,50,32,81,44,70,350.3571429,100,65.88235294,vehicle.audi.etron,0,1.227262974,0,24,4,X,"107,473,383,542
",65.88235294,100,350.3571429,vehicle.bmw.grandtourer,0,100.3730469,0,29,29
3314,14,53,89,85,17,11,40,22,221.7073171,57.34265734,56.07843137,vehicle.chevrolet.impala,0.002738906,-123.0580063,0.002706206,22,4,X,"974,492,1132,541
",56.07843137,57.34265734,221.7073171,vehicle.seat.leon,2.587787867,1.224961877,0.016710347,20,20
3315,11,65,98,82,41,62,79,33,221.7073171,57.34265734,56.07843137,vehicle.chevrolet.impala,-0.000184415,78.85359955,-0.000579834,16,4,X,"-246,412,326,544
",56.07843137,57.34265734,221.7073171,vehicle.citroen.c3,0,-88.58644104,0,39,39
3316,17,81,90,41,46,7,1,82,221.7073171,57.34265734,56.07843137,vehicle.chevrolet.impala,0,1.227262974,0,17,4,X,"718,484,939,541
",56.07843137,57.34265734,221.7073171,vehicle.citroen.c3,0,91.41353607,0,36,36
3317,5,63,45,66,30,97,19,5,69.6,13.36898396,73.33333333,vehicle.nissan.patrol,-0.005068,1.227263808,0.000759783,16,4,X,"882,459,1086,541
",73.33333333,13.36898396,69.6,vehicle.toyota.prius,0.000102453,-89.99999237,8.63E-07,39,39
3318,3,27,5,88,7,40,94,41,0,0,85.09803922,vehicle.citroen.c3,0.001202113,-94.05556488,0.005019758,9,4,X,"809,391,981,543
",85.09803922,0,0,vehicle.nissan.micra,0.000307359,91.41352081,-0.000823975,39,39
3319,13,60,60,60,60,3,0.75,0,350.3571429,100,65.88235294,vehicle.audi.a2,0.064060338,91.41353607,0,15,4,X,"236,435,524,542
",65.88235294,100,350.3571429,vehicle.chevrolet.impala,-0.000218566,-65.9488678,0.000586949,23,23
3320,14,38,52,47,59,75,80,85,69.6,13.36898396,73.33333333,vehicle.nissan.patrol,-0.005033849,1.227263927,0.000759065,15,4,X,"944,452,1165,541
",73.33333333,13.36898396,69.6,vehicle.seat.leon,-2.325166941,-178.7734222,-0.020202633,21,21
3321,13,51,1,60,100,12,21,79,221.7073171,57.34265734,56.07843137,vehicle.chevrolet.impala,0,91.41353607,0,33,4,X,"712,508,789,541
",56.07843137,57.34265734,221.7073171,vehicle.volkswagen.t2,0,123.7865448,0,16,16
3322,10,49,19,46,10,96,27,92,0,83.56164384,28.62745098,vehicle.volkswagen.t2,-6.15E-05,-88.58641815,3.93E-05,32,4,X,"909,494,956,540
",28.62745098,83.56164384,0,vehicle.citroen.c3,0,1.227262974,0,19,19
3323,5,24,46,46,7,75,50,38,350.3571429,100,65.88235294,vehicle.audi.tt,0.002192491,-101.4998245,-0.000946045,26,4,X,"1000,502,1084,541
",65.88235294,100,350.3571429,vehicle.audi.tt,-0.019288452,-42.14009094,0.051829476,15,15
3324,20,60,60,60,60,3,0.75,0,350.3571429,100,65.88235294,vehicle.audi.a2,0.064094491,106.5964279,3.34E-09,14,4,X,"243,426,564,542
",65.88235294,100,350.3571429,vehicle.tesla.model3,0.000580566,-88.5865097,0.000754714,30,30
3325,19,19,71,52,26,37,21,40,350.3571429,100,65.88235294,vehicle.audi.a2,0.064101323,91.41353607,-0.000305174,37,4,X,"777,510,826,540
",65.88235294,100,350.3571429,vehicle.jeep.wrangler_rubicon,0,91.41353607,0,12,12
3326,14,39,10,35,41,28,97,26,0,83.56164384,28.62745098,vehicle.volkswagen.t2,0,-88.58644104,0,35,4,X,"954,498,997,540
",28.62745098,83.56164384,0,vehicle.nissan.patrol,-4.953314304,-178.7705841,-0.000183108,26,26
3327,12,75,78,38,40,30,52,8,0,83.56164384,28.62745098,vehicle.volkswagen.t2,4.620499611,1.229806423,-0.000610351,23,4,X,"1503,428,1778,533
",28.62745098,83.56164384,0,vehicle.toyota.prius,-6.470333576,-178.7727203,0,29,29
3328,9,46,21,79,90,97,46,9,0,0,42.74509804,vehicle.bmw.grandtourer,0,91.41353607,0,11,4,X,"-479,315,376,544
",42.74509804,0,0,vehicle.seat.leon,0.002240302,-91.70056152,-0.000579834,28,28
3329,8,56,46,49,47,34,5,45,0,83.56164384,28.62745098,vehicle.volkswagen.t2,-9.56E-05,-89.99999237,-0.00012207,40,4,X,"1040,504,1089,540
",28.62745098,83.56164384,0,vehicle.audi.tt,0,130.6625977,0,15,15
3330,17,11,33,92,15,15,90,12,0,0,85.09803922,vehicle.citroen.c3,-0.002199321,-88.58837891,-0.005737304,5,4,X,"956,208,1346,548
",85.09803922,0,0,vehicle.toyota.prius,0.000102453,55.45161057,7.37E-07,23,23
3331,14,84,89,69,30,45,61,95,350.3571429,100,65.88235294,vehicle.audi.etron,0,1.227262974,0,23,4,X,"217,473,480,542
",65.88235294,100,350.3571429,vehicle.nissan.patrol,0,-178.7727051,0,28,28
3332,10,14,48,95,21,28,29,27,350.3571429,100,65.88235294,vehicle.audi.etron,-0.000245887,-89.99942017,0.013090095,36,4,X,"1050,507,1106,540
",65.88235294,100,350.3571429,vehicle.audi.etron,-6.435847759,-178.7726898,0,28,28
3333,7,98,30,25,0,71,39,56,0,0,42.74509804,vehicle.bmw.grandtourer,1.409020185,1.140187263,-0.045043953,20,4,X,"1208,470,1430,542
",42.74509804,0,0,vehicle.audi.etron,0,-88.58644104,0,34,34
3334,14,10,49,30,13,24,30,13,221.7073171,57.34265734,56.07843137,vehicle.chevrolet.impala,0,83.0729599,0,28,4,X,"702,502,778,541
",56.07843137,57.34265734,221.7073171,vehicle.seat.leon,3.76303792,1.227260232,0,22,22
3335,7,86,33,50,84,13,51,82,0,100,100,vehicle.toyota.prius,0.000102453,-178.7726898,1.27E-08,27,4,X,"196,486,417,541
",100,100,0,vehicle.jeep.wrangler_rubicon,0.000696679,-88.58641815,0.005041309,25,25
3336,18,86,86,25,93,65,8,60,226.0465116,83.49514563,40.39215686,vehicle.tesla.model3,0.001325057,-104.4120026,0.00297171,10,4,X,"780,421,956,543
",40.39215686,83.49514563,226.0465116,vehicle.seat.leon,0,121.8512344,0,28,28
3337,4,89,100,75,22,8,97,51,0,83.56164384,28.62745098,vehicle.volkswagen.t2,0,91.41353607,0,12,4,X,"-465,277,344,544
",28.62745098,83.56164384,0,vehicle.audi.tt,1.769244313,1.226810813,0.011904802,19,19
3338,23,10,8,32,8,30,65,46,350.3571429,100,65.88235294,vehicle.audi.tt,0.005081661,-178.7726898,-0.000732422,18,4,X,"935,489,1093,541
",65.88235294,100,350.3571429,vehicle.audi.etron,0,-178.7727051,0,21,21
3339,18,23,28,92,57,42,30,76,226.0465116,83.49514563,40.39215686,vehicle.tesla.model3,0,91.41353607,0,36,4,X,"785,510,845,540
",40.39215686,83.49514563,226.0465116,vehicle.audi.etron,-0.001919283,1.227258086,0.000403838,16,16
3340,3,21,88,75,35,22,61,18,350.3571429,100,65.88235294,vehicle.audi.etron,-3.345030308,-178.7726898,-3.34E-09,25,4,X,"1305,474,1508,539
",65.88235294,100,350.3571429,vehicle.seat.leon,0,112.0883713,0,28,28
3341,13,60,0,0,10,3,0.75,0,350.3571429,100,65.88235294,vehicle.audi.a2,0.06609574,-88.58641815,-0.000457766,29,4,X,"983,502,1030,540
",65.88235294,100,350.3571429,vehicle.citroen.c3,0.002424717,-115.218483,0.000950321,24,24
3342,6,28,41,38,43,69,13,83,0,83.56164384,28.62745098,vehicle.volkswagen.t2,-9.56E-05,-88.58641815,-6.10E-05,33,4,X,"914,497,958,540
",28.62745098,83.56164384,0,vehicle.seat.leon,0,-178.7727051,0,23,23
3343,13,77,54,46,21,33,34,10,0,0,42.74509804,vehicle.bmw.grandtourer,0.00144117,-107.8640213,0.002768899,11,4,X,"787,415,977,542
",42.74509804,0,0,vehicle.chevrolet.impala,-3.42E-05,-178.7726898,-9.16E-05,23,23
3344,3,92,84,43,38,75,37,50,0,100,100,vehicle.toyota.prius,0.000102453,74.9354248,-3.26E-12,16,4,X,"21,424,392,542
",100,100,0,vehicle.audi.etron,0,91.41353607,0,37,37
3345,19,54,57,23,32,94,23,34,226.0465116,83.49514563,40.39215686,vehicle.tesla.model3,0.000799132,-88.58648682,0.005011154,24,4,X,"966,495,1034,541
",40.39215686,83.49514563,226.0465116,vehicle.jeep.wrangler_rubicon,0,91.41353607,0,30,30
3346,18,19,41,64,3,27,90,32,0,0,85.09803922,vehicle.jeep.wrangler_rubicon,0,91.41353607,0,32,4,X,"743,497,807,540
",85.09803922,0,0,vehicle.volkswagen.t2,0,91.41353607,0,25,25
3347,22,48,33,84,3,21,21,16,233.372093,80.37383178,83.92156863,vehicle.seat.leon,-0.001249925,1.227248311,0.000398873,18,4,X,"810,484,973,541
",83.92156863,80.37383178,233.372093,vehicle.audi.tt,2.432387352,1.226985335,0.010158191,19,19
3348,12,39,75,70,18,78,51,90,0,0,85.09803922,vehicle.jeep.wrangler_rubicon,-3.442872763,-178.772934,0,25,4,X,"1334,466,1504,537
",85.09803922,0,0,vehicle.tesla.model3,-0.004979208,1.227263451,0.000657942,15,15
3349,19,78,23,25,15,97,11,43,221.7073171,57.34265734,56.07843137,vehicle.chevrolet.impala,0,-178.7727051,0,25,4,X,"151,487,421,541
",56.07843137,57.34265734,221.7073171,vehicle.toyota.prius,0.000102453,72.71492767,9.70E-08,26,26
3350,12,7,45,19,87,51,64,26,69.6,13.36898396,73.33333333,vehicle.nissan.patrol,0.002049057,-118.2203522,0.001976663,13,5,X,"806,428,990,541
",73.33333333,13.36898396,69.6,vehicle.chevrolet.impala,-1.730066299,-178.7749023,-0.023132319,21,21
3351,3,26,43,70,92,66,22,100,0,0,85.09803922,vehicle.jeep.wrangler_rubicon,0,134.1005859,0,15,5,X,"618,442,826,541
",85.09803922,0,0,vehicle.tesla.model3,0,91.41353607,0,18,18
3352,17,46,43,19,71,19,11,39,0,0,85.09803922,vehicle.jeep.wrangler_rubicon,1.575854301,1.227009535,0.034577839,18,5,X,"1251,451,1469,542
",85.09803922,0,0,vehicle.tesla.model3,-0.004576227,-88.58648682,0.002853388,6,6
3353,2,53,34,46,75,24,3,74,0,0,85.09803922,vehicle.jeep.wrangler_rubicon,0,1.227262974,0,18,5,X,"401,452,629,541
",85.09803922,0,0,vehicle.toyota.prius,0.000102453,1.227263331,3.99E-08,22,22
3354,4,55,82,35,40,33,94,52,69.6,13.36898396,73.33333333,vehicle.nissan.patrol,0.226844236,1.229482412,0.018219898,17,5,X,"1173,454,1416,541
",73.33333333,13.36898396,69.6,vehicle.nissan.micra,0,91.41353607,0,11,11
3355,11,20,39,19,98,53,17,16,221.7073171,57.34265734,56.07843137,vehicle.chevrolet.impala,-0.004180076,1.227262378,0.001680709,18,5,X,"977,485,1191,541
",56.07843137,57.34265734,221.7073171,vehicle.tesla.model3,-0.005279736,-88.58648682,0.002839873,5,5
3356,18,54,16,43,2,27,84,91,0,0,85.09803922,vehicle.jeep.wrangler_rubicon,0,106.5963821,0,12,5,X,"339,397,655,542
",85.09803922,0,0,vehicle.citroen.c3,-1.164854527,-178.8404999,0.029832633,21,21
